delivery_number,no_of_unit,description,quantity,per_unit_kg,unit_type
17884,  120.00 ,PVC HARD SOLE COMPOUND GRANUEL 25036 HS,3000,25,Bag
36874,  340.00 , EVA ,8500,25,Bag
36966,340, EVA ,8500,25,Bag
36968,1692,RUBBER  BASE SLIPPER OUTER COMPOUND,42300,25,Bag
37083,  2435.00 ,RUBBER  BASE SLIPPER SOLE COMPOUND,60875,25,Bag
37084,1546,RUBBER  BASE SLIPPER OUTER COMPOUND,38650,25,Bag
36875,  180.00 , EVA ,4500,25,Bag
37088,1076,RUBBER  BASE SLIPPER OUTER COMPOUND,26900,25,Bag
37085,  200.00 ,EVA 5026,5000,25,Bag
37086,  200.00 ,EVA 5027,5000,25,Bag
36971,  140.00 ,Filler Compound 1021,3500,25,Bag
36970,  10.00 ,PE WAX,250,25,Bag
36972,455,RUBBER  BASE SLIPPER SOLE COMPOUND,11375,25,Bag
17833,  40.00 ,PVC CABLE GRANUEL COMPOUND  5017,1000,25,Bag
36880,  53.00 , EVA ,1325,25,Bag
36969,  200.00 , EVA ,5000,25,Bag
36973,  437.00 ,RUBBER  BASE SLIPPER OUTER COMPOUND,10925,25,Bag
37087,1213,RUBBER  BASE SLIPPER SOLE COMPOUND,30325,25,Bag
37090,179,RUBBER  BASE SLIPPER OUTER COMPOUND,4475,25,Bag
36976,  370.00 ,RUBBER  BASE SLIPPER OUTER COMPOUND,9250,25,Bag
36978,  472.00 ,RUBBER  BASE SLIPPER OUTER COMPOUND,11800,25,Bag
17885,  40.00 , PVC SOFT GRANUEL COMPOUND 5040 SSc ,1000,25,Bag
17902,  4.00 ,PVC CABLE GRANULE COMPOUND,100,25,Bag
17834,  120.00 ,PVC CABLE GRANULE  COMPOUND 5017,3000,25,Bag
17835,  12.00 ,PVC CABLE GRANULE  COMPOUND 5022,300,25,Bag
36975,340, EVA ,8500,25,Bag
36974,2677,RUBBER  BASE SLIPPER SOLE COMPOUND,66925,25,Bag
36977,2062,RUBBER  BASE SLIPPER SOLE COMPOUND,51550,25,Bag
37093,915,RUBBER  BASE SLIPPER OUTER COMPOUND,22875,25,Bag
37091,  200.00 ,EVA 5028,5000,25,Bag
37092,  200.00 ,EVA 5029,5000,25,Bag
17900,  70.00 ,Plastic Waste Drums,1750,25,Bag
17899,  28.00 ,Plastic Waste Drums,700,25,Bag
17901,  17.00 , PVC SOFT GRANUEL COMPOUND 5040 SSc ,425,25,Bag
36981,  268.00 ,RUBBER  BASE SLIPPER OUTER COMPOUND,6700,25,Bag
37095,  2.00 ,MASTER BATCH 4322,50,25,Bag
370952,  1485.00 ,ENABLE,37125,25,Bag
37096,  7414.00 ,RUBBER  BASE SLIPPER SOLE COMPOUND,185350,25,Bag
37097,1586,RUBBER  BASE SLIPPER SOLE COMPOUND,39650,25,Bag
36979,200, EVA ,5000,25,Bag
17836,  140.00 ,PVC HARD SOLE COMPOUND GRANUEL 25036 HS,3500,25,Bag
36980,5261,RUBBER  BASE SLIPPER SOLE COMPOUND,131525,25,Bag
37098,1460,RUBBER  BASE SLIPPER OUTER COMPOUND,36500,25,Bag
