delivery_number,no_of_unit,description,quantity,per_unit_kg,unit_type
37159,"1,556.00",RUBBER  BASE SLIPPER SOLE COMPOUND,38900,25,BAG
36945,3745,RUBBER  BASE SLIPPER SOLE COMPOUND,93625,25,BAG
36950,3254,RUBBER  BASE SLIPPER SOLE COMPOUND,81350,25,BAG
37074,"2,012.00",RUBBER  BASE SLIPPER SOLE COMPOUND,50300,25,BAG
36956,2521,RUBBER  BASE SLIPPER SOLE COMPOUND,63025,25,BAG
37078,"2,240.00",RUBBER  BASE SLIPPER SOLE COMPOUND,56000,25,BAG
36962,"4,133.00",RUBBER  BASE SLIPPER SOLE COMPOUND,103325,25,BAG
36964,"3,317.00",RUBBER  BASE SLIPPER SOLE COMPOUND,82925,25,BAG
36890,4234,RUBBER  BASE SLIPPER SOLE COMPOUND,,850,BAG
36893,900,RUBBER  BASE SLIPPER SOLE COMPOUND,,500,BAG
36895,790,RUBBER  BASE SLIPPER SOLE COMPOUND,,750,BAG
37006,172,RUBBER  SOLE COMPOUND ,4,300,BAG
37026,173,RUBBER  SOLE COMPOUND ,4325,25,BAG
37036,217,RUBBER  SOLE COMPOUND ,5425,25,BAG
37046,172,RUBBER  SOLE COMPOUND ,4300,25,BAG
37018,171,RUBBER  SOLE COMPOUND ,,275,BAG
37109,626,RUBBER COMPOUND ,15,650,BAG
37128,136,RUBBER COMPOUND ,3400,25,BAG
37132,68,RUBBER COMPOUND ,1700,25,BAG
37137,209,RUBBER COMPOUND ,5225,25,BAG
37142,25,RUBBER COMPOUND ,625,25,BAG
37146,112,RUBBER COMPOUND ,2800,25,BAG
37153,138,RUBBER COMPOUND ,3450,25,BAG
37156,136,RUBBER COMPOUND ,3400,25,BAG
37161,137,RUBBER COMPOUND ,3425,25,BAG
37119,136,RUBBER COMPOUND ,,400,BAG
17837,100,WASTE DRUM,2,500,BAG
17804,100,WASTE DRUM,2,500,BAG
17858,70,WASTE DRUM,1750,25,BAG
17878,70,WASTE DRUM,1750,25,BAG
37014,5250,WASTE PACKAGING MATERIAL ,,250,BAG
37015,12328,WASTE PACKAGING MATERIAL ,,200,BAG
36912,"12,500.00",WASTE PACKAGING MATERIAL ,312500,25,BAG
36917,"15,850.00",WASTE PACKAGING MATERIAL ,396250,25,BAG
17830,145,WASTE PACKAGING MATERIAL ,3625,25,BAG
17830,100,WASTE PACKAGING MATERIAL ,2500,25,BAG
